,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HTGD,ATGD,DiffPts,DiffFormPts,HTP,ATP,HC,AC,HF,AF,HY,AY,HR,AR,HAS,HDS,AAS,ADS,MP
287,Charlton,Leeds,1,2,A,7,7,3,5,-2,5,-2,-2,41,43,2,5,19,13,3,5,0,0,1.3458646616541354,1.3383458646616542,1.2894736842105263,1.5394736842105263,133
288,Chelsea,Sunderland,2,4,A,14,11,6,7,17,5,-2,6,42,44,4,5,15,26,0,0,0,0,2.1543859649122807,0.8,0.8947368421052632,1.7456140350877194,285
289,Man United,Leicester,2,0,H,19,5,8,2,47,2,21,4,66,45,14,2,11,13,1,1,0,0,2.1964912280701756,0.7017543859649122,1.1578947368421053,1.486842105263158,285
290,Newcastle,Middlesbrough,1,2,A,16,7,5,4,-7,-4,10,-3,38,28,5,1,14,19,0,3,0,1,1.537593984962406,1.1766917293233083,0.9276315789473685,1.4342105263157894,266
291,Southampton,Everton,1,0,H,17,5,5,1,0,-12,12,10,44,32,6,6,13,18,1,1,0,0,1.486842105263158,1.1578947368421053,1.0736842105263158,1.3543859649122807,152
292,Tottenham,Coventry,3,0,H,12,11,4,5,-5,-22,12,2,36,24,5,8,13,10,0,1,0,0,1.743859649122807,1.0666666666666667,1.1578947368421053,2.1052631578947367,285
293,West Ham,Ipswich,0,1,A,5,13,2,5,-2,7,-11,-2,35,46,4,5,14,8,0,0,0,0,1.4254385964912282,1.2675438596491229,1.236842105263158,1.763157894736842,228
294,Aston Villa,Arsenal,0,0,D,4,14,2,5,1,18,-15,-6,38,53,3,3,16,13,2,2,0,1,1.2596491228070175,1.1087719298245613,1.6596491228070176,1.1228070175438596,285
295,Liverpool,Derby,1,1,D,18,7,8,4,19,-14,15,-2,49,34,9,3,11,9,2,2,0,0,1.8982456140350876,0.7578947368421053,0.6140350877192983,2.0701754385964914,285
296,Arsenal,Tottenham,2,0,H,25,4,19,3,18,-5,17,7,53,36,12,2,5,6,0,1,0,0,2.1789473684210527,0.8385964912280702,1.2035087719298245,1.4771929824561403,285
