,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HTGD,ATGD,DiffPts,DiffFormPts,HTP,ATP,HC,AC,HF,AF,HY,AY,HR,AR,HAS,HDS,AAS,ADS,MP
1058,Tottenham,Liverpool,2,3,A,12,9,5,6,1,13,-3,-3,43,46,9,4,21,11,1,1,0,0,1.743859649122807,1.0666666666666667,1.4912280701754386,1.1964912280701754,285
1059,West Brom,Chelsea,0,2,A,5,11,1,8,-23,19,-27,-3,21,48,2,4,10,8,0,0,0,0,1.2163742690058479,1.432748538011696,1.5368421052631578,0.9263157894736842,171
1060,Birmingham,West Brom,1,0,H,13,9,6,3,-15,-25,11,5,32,21,8,3,10,22,0,0,0,0,1.218045112781955,1.0526315789473684,0.9064327485380117,1.713450292397661,133
1061,Chelsea,Man City,5,0,H,16,8,10,4,21,-4,10,3,51,41,7,6,11,13,1,2,0,1,2.1543859649122807,0.8,1.2857142857142858,1.368421052631579,285
1062,Man United,Fulham,3,0,H,18,11,11,6,21,-2,23,0,61,38,9,5,11,12,2,1,0,0,2.1964912280701756,0.7017543859649122,0.8947368421052632,1.611336032388664,285
1063,Middlesboro,Charlton,1,1,D,15,6,6,4,4,1,-4,2,41,45,8,4,9,10,1,2,0,0,1.894736842105263,1.105263157894737,0.9172932330827067,1.5639097744360901,19
1064,Newcastle,Blackburn,5,1,H,14,11,8,8,15,5,12,-2,58,46,8,3,12,11,1,1,0,0,1.537593984962406,1.1766917293233083,1.0956937799043063,1.6889952153110048,266
1065,Southampton,Aston Villa,2,2,D,11,13,7,9,2,-4,8,1,43,35,4,3,8,17,0,1,0,0,1.486842105263158,1.1578947368421053,1.1508771929824562,1.6456140350877193,152
1066,West Ham,Sunderland,2,0,H,10,4,4,2,-21,-29,8,7,27,19,4,1,16,12,1,0,0,0,1.4254385964912282,1.2675438596491229,0.8947368421052632,1.7456140350877194,228
1067,Arsenal,Everton,2,1,H,14,6,10,3,32,4,13,2,63,50,3,5,15,19,2,1,0,0,2.1789473684210527,0.8385964912280702,1.0736842105263158,1.3543859649122807,285
1068,Liverpool,Leeds,3,1,H,19,11,11,6,14,-5,15,7,49,34,4,6,12,17,0,1,0,0,1.8982456140350876,0.7578947368421053,1.2894736842105263,1.5394736842105263,285
1069,Bolton,Tottenham,1,0,H,15,7,8,2,-14,0,-14,3,29,43,4,9,8,9,0,1,0,0,1.3301435406698565,1.244019138755981,1.2035087719298245,1.4771929824561403,209
1070,Aston Villa,Arsenal,1,1,D,6,12,2,5,-4,33,-30,-9,36,66,5,6,19,12,1,2,0,0,1.2596491228070175,1.1087719298245613,1.6596491228070176,1.1228070175438596,285
1071,Bolton,Man City,2,0,H,5,5,3,2,-13,-9,-9,4,32,41,5,7,6,10,0,5,0,0,1.3301435406698565,1.244019138755981,1.2857142857142858,1.368421052631579,209
1072,Charlton,Leeds,1,6,A,6,14,4,10,1,-7,12,4,46,34,7,8,14,17,2,1,0,0,1.3458646616541354,1.3383458646616542,1.2894736842105263,1.5394736842105263,133
1073,Man United,Liverpool,4,0,H,12,5,9,1,24,16,12,1,64,52,10,4,15,17,1,3,0,1,2.1964912280701756,0.7017543859649122,1.4912280701754386,1.1964912280701754,285
1074,Middlesboro,West Brom,3,0,H,22,12,12,6,4,-26,21,11,42,21,3,5,9,15,0,1,0,0,1.894736842105263,1.105263157894737,0.9064327485380117,1.713450292397661,19
1075,Southampton,West Ham,1,1,D,11,14,5,8,2,-19,14,-5,44,30,3,8,17,11,3,2,0,0,1.486842105263158,1.1578947368421053,0.9692982456140351,1.6535087719298245,152
1076,Sunderland,Chelsea,1,2,A,9,13,4,10,-31,26,-35,-9,19,54,3,8,17,11,1,1,0,0,1.1228070175438596,1.206140350877193,1.5368421052631578,0.9263157894736842,228
1077,Tottenham,Birmingham,2,1,H,12,10,6,4,-1,-14,8,-5,43,35,10,5,20,16,1,1,0,0,1.743859649122807,1.0666666666666667,0.8345864661654135,1.6541353383458646,285
1078,Everton,Newcastle,2,1,H,9,15,7,8,3,19,-11,-7,50,61,9,5,12,13,1,2,0,0,1.592982456140351,1.0701754385964912,1.0714285714285714,1.6804511278195489,285
1079,Fulham,Blackburn,0,4,A,9,7,4,3,-5,1,-8,-4,38,46,3,4,9,19,0,2,0,0,1.4129554655870444,1.2105263157894737,1.0956937799043063,1.6889952153110048,247
1080,Birmingham,Sunderland,2,0,H,7,2,3,0,-15,-32,16,9,35,19,6,6,22,19,0,1,0,1,1.218045112781955,1.0526315789473684,0.8947368421052632,1.7456140350877194,133
1081,Blackburn,Charlton,1,0,H,11,7,6,5,5,-4,3,8,49,46,9,11,10,14,0,0,0,0,1.3827751196172249,1.1435406698564594,0.9172932330827067,1.5639097744360901,209
1082,Chelsea,Bolton,1,0,H,17,7,8,2,27,-11,22,-1,57,35,3,1,9,10,1,2,0,0,2.1543859649122807,0.8,1.0382775119617225,1.6889952153110048,285
1083,Leeds,Tottenham,2,2,D,11,6,4,2,-2,0,-9,-1,37,46,7,4,13,10,1,2,0,0,1.5394736842105263,1.3026315789473684,1.2035087719298245,1.4771929824561403,76
1084,Liverpool,Fulham,2,0,H,17,11,11,7,12,-9,14,4,52,38,5,6,9,17,1,2,0,0,1.8982456140350876,0.7578947368421053,0.8947368421052632,1.611336032388664,285
1085,Man City,Middlesboro,0,0,D,9,6,6,1,-11,7,-4,-8,41,45,1,4,12,7,0,1,0,0,1.8345864661654134,0.9849624060150376,0.631578947368421,1.2105263157894737,266
1086,Newcastle,Man United,2,6,A,15,15,9,11,18,28,-6,-4,61,67,6,6,8,7,1,0,0,0,1.537593984962406,1.1766917293233083,1.7228070175438597,1.0421052631578946,266
1087,West Brom,Everton,1,2,A,12,8,6,3,-29,4,-32,-8,21,53,3,10,9,5,2,2,0,0,1.2163742690058479,1.432748538011696,1.0736842105263158,1.3543859649122807,171
1088,West Ham,Aston Villa,2,2,D,15,6,7,3,-19,-4,-6,9,31,37,10,7,14,12,4,1,0,0,1.4254385964912282,1.2675438596491229,1.1508771929824562,1.6456140350877193,228
1089,Arsenal,Man United,2,2,D,10,6,7,3,33,28,0,-3,67,67,6,2,15,15,0,2,1,0,2.1789473684210527,0.8385964912280702,1.7228070175438597,1.0421052631578946,285
1090,Tottenham,Man City,0,2,A,9,11,6,6,0,-11,5,0,47,42,7,9,11,15,2,3,0,0,1.743859649122807,1.0666666666666667,1.2857142857142858,1.368421052631579,285
1091,Aston Villa,Chelsea,2,1,H,19,16,10,10,-4,28,-22,-9,38,60,6,2,11,12,1,0,0,0,1.2596491228070175,1.1087719298245613,1.5368421052631578,0.9263157894736842,285
1092,Bolton,West Ham,1,0,H,19,9,9,3,-12,-19,3,0,35,32,8,3,18,9,3,4,0,1,1.3301435406698565,1.244019138755981,0.9692982456140351,1.6535087719298245,209
1093,Charlton,Birmingham,0,2,A,7,13,5,7,-5,-13,8,-8,46,38,8,5,16,12,2,1,0,0,1.3458646616541354,1.3383458646616542,0.8345864661654135,1.6541353383458646,133
1094,Everton,Liverpool,1,2,A,9,8,4,2,5,14,1,-4,56,55,4,3,15,18,4,3,2,0,1.592982456140351,1.0701754385964912,1.4912280701754386,1.1964912280701754,285
1095,Fulham,Newcastle,2,1,H,13,8,6,6,-11,14,-23,-2,38,61,6,13,12,9,1,1,0,1,1.4129554655870444,1.2105263157894737,1.0714285714285714,1.6804511278195489,247
1096,Man United,Blackburn,3,1,H,18,6,12,1,32,6,18,3,70,52,7,3,8,9,0,0,0,0,2.1964912280701756,0.7017543859649122,1.0956937799043063,1.6889952153110048,285
1097,Middlesboro,Arsenal,0,2,A,7,6,3,2,7,33,-22,3,46,68,3,5,16,12,0,1,0,0,1.894736842105263,1.105263157894737,1.6596491228070176,1.1228070175438596,19
1098,Southampton,Leeds,3,2,H,16,5,7,3,3,-2,10,5,48,38,11,1,8,22,0,4,0,1,1.486842105263158,1.1578947368421053,1.2894736842105263,1.5394736842105263,152
1099,Sunderland,West Brom,1,2,A,20,9,13,7,-34,-30,-2,0,19,21,10,5,19,12,4,1,0,0,1.1228070175438596,1.206140350877193,0.9064327485380117,1.713450292397661,228
1100,Birmingham,Southampton,3,2,H,15,12,9,7,-11,2,-7,3,41,48,5,3,10,19,0,2,0,0,1.218045112781955,1.0526315789473684,1.013157894736842,1.513157894736842,133
1101,Blackburn,Bolton,0,0,D,11,6,5,3,4,-11,14,-3,52,38,9,4,14,13,2,3,0,0,1.3827751196172249,1.1435406698564594,1.0382775119617225,1.6889952153110048,209
1102,Chelsea,Everton,4,1,H,13,3,9,1,27,4,4,5,60,56,4,0,11,15,1,1,0,0,2.1543859649122807,0.8,1.0736842105263158,1.3543859649122807,285
1103,Liverpool,Charlton,2,1,H,20,5,10,5,15,-7,12,11,58,46,8,9,4,14,0,1,0,0,1.8982456140350876,0.7578947368421053,0.9172932330827067,1.5639097744360901,285
1104,Man City,Sunderland,3,0,H,15,4,8,3,-9,-35,26,7,45,19,7,3,12,11,0,1,0,0,1.8345864661654134,0.9849624060150376,0.8947368421052632,1.7456140350877194,266
1105,Newcastle,Aston Villa,1,1,D,16,10,4,7,13,-3,20,0,61,41,8,5,6,13,0,1,0,0,1.537593984962406,1.1766917293233083,1.1508771929824562,1.6456140350877193,266
1106,West Brom,Tottenham,2,3,A,8,8,8,5,-29,-2,-23,-1,24,47,5,8,9,10,2,2,0,0,1.2163742690058479,1.432748538011696,1.2035087719298245,1.4771929824561403,171
1107,West Ham,Middlesboro,1,0,H,13,6,9,2,-20,5,-14,-2,32,46,4,6,15,18,1,2,0,0,1.4254385964912282,1.2675438596491229,0.631578947368421,1.2105263157894737,228
1108,Leeds,Fulham,2,0,H,19,7,7,2,-3,-10,-3,0,38,41,8,4,18,17,0,2,0,0,1.5394736842105263,1.3026315789473684,0.8947368421052632,1.611336032388664,76
1109,Birmingham,Middlesboro,3,0,H,7,6,6,4,-11,5,-5,1,41,46,3,3,17,18,1,2,0,0,1.218045112781955,1.0526315789473684,0.631578947368421,1.2105263157894737,133
1110,Bolton,Arsenal,2,2,D,17,8,11,7,-11,35,-33,1,39,72,10,4,15,16,2,2,1,0,1.3301435406698565,1.244019138755981,1.6596491228070176,1.1228070175438596,209
1111,Charlton,Southampton,2,1,H,14,14,10,6,-8,1,-2,-4,46,48,7,10,15,12,1,1,0,0,1.3458646616541354,1.3383458646616542,1.013157894736842,1.513157894736842,133
1112,Chelsea,Fulham,1,1,D,11,7,5,5,30,-12,22,9,63,41,9,2,9,11,3,2,0,0,2.1543859649122807,0.8,0.8947368421052632,1.611336032388664,285
1113,Everton,Aston Villa,2,1,H,11,15,8,10,1,-3,14,-1,56,42,8,6,10,13,0,1,0,0,1.592982456140351,1.0701754385964912,1.1508771929824562,1.6456140350877193,285
1114,Leeds,Blackburn,2,3,A,15,10,9,5,-1,4,-12,0,41,53,11,6,12,18,2,1,0,0,1.5394736842105263,1.3026315789473684,1.0956937799043063,1.6889952153110048,76
1115,Sunderland,Newcastle,0,1,A,12,18,8,9,-38,13,-43,-4,19,62,6,8,20,18,4,4,0,0,1.1228070175438596,1.206140350877193,1.0714285714285714,1.6804511278195489,228
1116,West Brom,Liverpool,0,6,A,9,18,5,14,-30,16,-37,-9,24,61,4,3,12,6,1,1,0,0,1.2163742690058479,1.432748538011696,1.4912280701754386,1.1964912280701754,171
1117,Man City,West Ham,0,1,A,16,11,5,7,-6,-19,13,-1,48,35,11,6,10,11,1,1,0,0,1.8345864661654134,0.9849624060150376,0.9692982456140351,1.6535087719298245,266
1118,Tottenham,Man United,0,2,A,6,20,3,15,-1,34,-24,-6,50,74,5,8,11,11,0,0,0,0,1.743859649122807,1.0666666666666667,1.7228070175438597,1.0421052631578946,285
1119,Aston Villa,Sunderland,1,0,H,11,11,4,7,-3,-38,23,7,42,19,12,6,11,13,0,1,0,0,1.2596491228070175,1.1087719298245613,0.8947368421052632,1.7456140350877194,285
1120,Blackburn,West Brom,1,1,D,13,13,7,7,5,-36,32,7,56,24,7,2,14,16,2,1,0,0,1.3827751196172249,1.1435406698564594,0.9064327485380117,1.713450292397661,209
1121,Fulham,Everton,2,0,H,13,16,6,8,-12,2,-17,-5,42,59,6,9,14,13,1,1,0,0,1.4129554655870444,1.2105263157894737,1.0736842105263158,1.3543859649122807,247
1122,Liverpool,Man City,1,2,A,8,6,6,3,22,-7,16,5,64,48,8,4,9,17,2,2,0,0,1.8982456140350876,0.7578947368421053,1.2857142857142858,1.368421052631579,285
1123,Man United,Charlton,4,1,H,21,4,14,2,36,-7,28,10,77,49,11,3,6,10,0,1,0,0,2.1964912280701756,0.7017543859649122,0.9172932330827067,1.5639097744360901,285
1124,Middlesboro,Tottenham,5,1,H,26,6,16,4,1,-3,-4,-3,46,50,8,3,15,9,0,2,0,1,1.894736842105263,1.105263157894737,1.2035087719298245,1.4771929824561403,19
1125,Newcastle,Birmingham,1,0,H,18,4,9,2,14,-7,18,-8,65,47,8,4,14,12,0,2,0,1,1.537593984962406,1.1766917293233083,0.8345864661654135,1.6541353383458646,266
1126,Southampton,Bolton,0,0,D,10,10,4,2,1,-11,9,-3,49,40,7,3,19,9,3,2,0,0,1.486842105263158,1.1578947368421053,1.0382775119617225,1.6889952153110048,152
1127,West Ham,Chelsea,1,0,H,11,8,7,3,-18,30,-26,-2,38,64,10,8,12,15,3,1,0,0,1.4254385964912282,1.2675438596491229,1.5368421052631578,0.9263157894736842,228
1128,Arsenal,Leeds,2,3,A,33,11,17,6,34,-2,31,-1,72,41,6,2,16,16,2,1,0,0,2.1789473684210527,0.8385964912280702,1.2894736842105263,1.5394736842105263,285
1129,Arsenal,Southampton,6,1,H,16,13,13,5,34,1,23,1,72,49,6,10,12,16,1,1,0,0,2.1789473684210527,0.8385964912280702,1.013157894736842,1.513157894736842,285
1130,Birmingham,West Ham,2,2,D,10,16,7,10,-8,-17,6,2,47,41,6,7,18,11,1,1,0,0,1.218045112781955,1.0526315789473684,0.9692982456140351,1.6535087719298245,133
1131,Bolton,Middlesboro,2,1,H,13,6,6,3,-11,5,-8,2,41,49,6,5,18,18,3,2,0,1,1.3301435406698565,1.244019138755981,0.631578947368421,1.2105263157894737,209
1132,Charlton,Fulham,0,1,A,10,17,4,7,-10,-10,4,-4,49,45,2,4,13,14,2,3,1,0,1.3458646616541354,1.3383458646616542,0.8947368421052632,1.611336032388664,133
1133,Chelsea,Liverpool,2,1,H,13,5,6,3,29,21,0,-5,64,64,4,3,17,13,3,1,0,1,2.1543859649122807,0.8,1.4912280701754386,1.1964912280701754,285
1134,Everton,Man United,1,2,A,8,17,4,12,0,39,-21,-7,59,80,6,6,16,15,5,3,0,0,1.592982456140351,1.0701754385964912,1.7228070175438597,1.0421052631578946,285
1135,Leeds,Aston Villa,3,1,H,11,18,5,6,-1,-3,-1,-1,44,45,1,8,18,14,0,1,0,0,1.5394736842105263,1.3026315789473684,1.1508771929824562,1.6456140350877193,76
1136,Man City,Southampton,0,1,A,17,6,7,3,-6,-4,2,6,51,49,10,4,14,14,3,4,0,0,1.8345864661654134,0.9849624060150376,1.013157894736842,1.513157894736842,266
1137,Sunderland,Arsenal,0,4,A,7,20,3,13,-40,39,-56,-8,19,75,6,10,16,12,1,0,0,0,1.1228070175438596,1.206140350877193,1.6596491228070176,1.1228070175438596,228
1138,Tottenham,Blackburn,0,4,A,11,13,7,9,-7,5,-7,-4,50,57,6,3,9,12,1,1,1,0,1.743859649122807,1.0666666666666667,1.0956937799043063,1.6889952153110048,285
1139,West Brom,Newcastle,2,2,D,8,14,3,9,-36,15,-43,-3,25,68,2,8,9,8,0,0,0,0,1.2163742690058479,1.432748538011696,1.0714285714285714,1.6804511278195489,171
1140,Arsenal,Everton,2,1,H,11,13,5,7,0,0,0,0,0,0,6,9,8,15,1,3,1,1,2.1789473684210527,0.8385964912280702,1.0736842105263158,1.3543859649122807,285
1141,Birmingham,Tottenham,1,0,H,10,15,5,7,0,0,0,0,0,0,1,4,20,27,3,5,0,0,1.218045112781955,1.0526315789473684,1.2035087719298245,1.4771929824561403,133
1142,Blackburn,Wolves,5,1,H,25,8,13,5,0,0,0,0,0,0,6,2,8,14,1,1,0,0,1.3827751196172249,1.1435406698564594,0.9342105263157895,1.986842105263158,209
1143,Fulham,Middlesbrough,3,2,H,17,8,9,5,0,0,0,0,0,0,7,6,18,16,1,1,0,0,1.4129554655870444,1.2105263157894737,0.9276315789473685,1.4342105263157894,247
1144,Leicester,Southampton,2,2,D,12,13,7,10,0,0,0,0,0,0,2,7,27,15,3,1,0,0,1.2763157894736843,1.355263157894737,1.013157894736842,1.513157894736842,76
1145,Man United,Bolton,4,0,H,13,15,6,5,0,0,0,0,0,0,8,4,12,8,0,4,0,0,2.1964912280701756,0.7017543859649122,1.0382775119617225,1.6889952153110048,285
1146,Portsmouth,Aston Villa,2,1,H,4,9,3,5,0,0,0,0,0,0,7,9,18,22,2,1,0,1,1.3834586466165413,1.1954887218045114,1.1508771929824562,1.6456140350877193,133
1147,Charlton,Man City,0,3,A,10,14,5,8,0,0,0,0,0,0,4,7,12,16,2,1,1,0,1.3458646616541354,1.3383458646616542,1.2857142857142858,1.368421052631579,133
1148,Leeds,Newcastle,2,2,D,8,19,3,10,0,0,0,0,0,0,4,8,19,16,4,2,0,0,1.5394736842105263,1.3026315789473684,1.0714285714285714,1.6804511278195489,76
1149,Liverpool,Chelsea,1,2,A,12,10,7,6,0,0,0,0,0,0,8,6,13,12,3,1,0,0,1.8982456140350876,0.7578947368421053,1.5368421052631578,0.9263157894736842,285
1150,Bolton,Blackburn,2,2,D,16,10,10,5,-4,4,-3,-3,0,3,9,2,11,15,2,4,0,1,1.3301435406698565,1.244019138755981,1.0956937799043063,1.6889952153110048,209
1151,Chelsea,Leicester,2,1,H,17,5,7,1,1,0,2,2,3,1,7,2,12,18,0,3,1,2,2.1543859649122807,0.8,1.1578947368421053,1.486842105263158,285
1152,Everton,Fulham,3,1,H,10,23,8,15,-1,1,-3,-3,0,3,4,10,15,14,2,4,0,0,1.592982456140351,1.0701754385964912,0.8947368421052632,1.611336032388664,285
1153,Man City,Portsmouth,1,1,D,21,4,11,2,3,1,0,0,3,3,11,7,8,22,2,3,0,0,1.8345864661654134,0.9849624060150376,0.8120300751879699,1.6616541353383458,266
1154,Newcastle,Man United,1,2,A,7,11,5,8,0,4,-2,-2,1,3,2,4,18,14,2,2,0,0,1.537593984962406,1.1766917293233083,1.7228070175438597,1.0421052631578946,266
1155,Southampton,Birmingham,0,0,D,14,12,7,5,0,1,-2,-2,1,3,2,7,15,19,3,1,0,0,1.486842105263158,1.1578947368421053,0.8345864661654135,1.6541353383458646,152
1156,Tottenham,Leeds,2,1,H,20,5,4,2,-1,0,-1,-1,0,1,6,0,14,14,1,2,0,0,1.743859649122807,1.0666666666666667,1.2894736842105263,1.5394736842105263,285
1157,Wolves,Charlton,0,4,A,10,8,4,6,-4,-3,0,0,0,0,5,2,11,7,2,1,0,1,1.118421052631579,1.7105263157894737,0.9172932330827067,1.5639097744360901,76
1158,Aston Villa,Liverpool,0,0,D,14,15,9,9,-1,-1,0,0,0,0,8,9,16,7,0,1,0,0,1.2596491228070175,1.1087719298245613,1.4912280701754386,1.1964912280701754,285
1159,Middlesbrough,Arsenal,0,4,A,10,14,4,10,-1,1,-3,-3,0,3,3,5,11,7,1,0,0,0,1.3026315789473684,1.236842105263158,1.6596491228070176,1.1228070175438596,152
1160,Blackburn,Man City,2,3,A,14,13,10,5,4,3,0,0,4,4,9,0,14,10,2,1,0,0,1.3827751196172249,1.1435406698564594,1.2857142857142858,1.368421052631579,209
1161,Charlton,Everton,2,2,D,10,13,4,4,1,1,0,0,3,3,6,8,8,8,1,1,0,0,1.3458646616541354,1.3383458646616542,1.0736842105263158,1.3543859649122807,133
1162,Leeds,Southampton,0,0,D,15,14,6,8,-1,0,-1,-1,1,2,6,10,10,11,2,3,0,0,1.5394736842105263,1.3026315789473684,1.013157894736842,1.513157894736842,76
1163,Leicester,Middlesbrough,0,0,D,12,13,4,3,-1,-5,1,1,1,0,6,4,17,16,3,2,0,0,1.2763157894736843,1.355263157894737,0.9276315789473685,1.4342105263157894,76
1164,Portsmouth,Bolton,4,0,H,13,13,8,4,1,-4,3,3,4,1,0,4,12,14,2,4,0,0,1.3834586466165413,1.1954887218045114,1.0382775119617225,1.6889952153110048,133
1165,Arsenal,Aston Villa,2,0,H,14,6,6,3,5,-1,5,5,6,1,2,6,16,16,3,4,0,0,2.1789473684210527,0.8385964912280702,1.1508771929824562,1.6456140350877193,285
1166,Liverpool,Tottenham,0,0,D,22,9,10,4,-1,0,-2,-2,1,3,8,5,20,27,2,5,0,0,1.8982456140350876,0.7578947368421053,1.2035087719298245,1.4771929824561403,285
1167,Man United,Wolves,1,0,H,14,12,5,2,5,-8,6,6,6,0,10,2,6,12,2,2,0,0,2.1964912280701756,0.7017543859649122,0.9342105263157895,1.986842105263158,285
1168,Aston Villa,Leicester,3,1,H,10,5,8,4,-1,-1,0,0,1,1,11,1,18,17,1,2,0,1,1.2596491228070175,1.1087719298245613,1.1578947368421053,1.486842105263158,285
1169,Bolton,Charlton,0,0,D,13,7,9,1,-4,1,-2,-2,1,3,12,3,18,16,4,2,0,0,1.3301435406698565,1.244019138755981,0.9172932330827067,1.5639097744360901,209
1170,Chelsea,Blackburn,2,2,D,12,7,5,4,2,3,3,3,7,4,3,4,11,19,0,4,0,0,2.1543859649122807,0.8,1.0956937799043063,1.6889952153110048,285
1171,Everton,Liverpool,0,3,A,11,18,5,11,1,-1,2,2,4,2,9,5,22,17,3,3,0,0,1.592982456140351,1.0701754385964912,1.4912280701754386,1.1964912280701754,285
1172,Middlesbrough,Leeds,2,3,A,27,8,16,4,-5,-1,-1,-1,1,2,6,3,17,21,2,3,0,0,1.3026315789473684,1.236842105263158,1.2894736842105263,1.5394736842105263,152
1173,Newcastle,Birmingham,0,1,A,19,7,10,3,-2,2,-6,-6,1,7,9,6,15,15,2,1,0,0,1.537593984962406,1.1766917293233083,0.8345864661654135,1.6541353383458646,266
1174,Tottenham,Fulham,0,3,A,18,9,6,5,0,2,-2,-2,4,6,9,4,15,13,0,2,0,0,1.743859649122807,1.0666666666666667,0.8947368421052632,1.611336032388664,285
1175,Wolves,Portsmouth,0,0,D,11,9,2,2,-9,5,-7,-7,0,7,4,6,15,16,3,5,0,0,1.118421052631579,1.7105263157894737,0.8120300751879699,1.6616541353383458,76
1176,Man City,Arsenal,1,2,A,11,10,7,5,4,7,-2,-2,7,9,5,5,12,11,4,3,0,0,1.8345864661654134,0.9849624060150376,1.6596491228070176,1.1228070175438596,266
1177,Southampton,Man United,1,0,H,12,10,5,9,0,6,-6,-6,3,9,9,5,8,10,1,0,0,0,1.486842105263158,1.1578947368421053,1.7228070175438597,1.0421052631578946,152
1178,Arsenal,Portsmouth,1,1,D,12,8,7,2,7,5,2,2,9,7,7,1,11,19,2,3,0,0,2.1789473684210527,0.8385964912280702,0.8120300751879699,1.6616541353383458,285
1179,Blackburn,Liverpool,1,3,A,8,21,5,14,3,-1,2,2,4,2,5,10,13,11,2,2,1,0,1.3827751196172249,1.1435406698564594,1.4912280701754386,1.1964912280701754,209
1180,Bolton,Middlesbrough,2,0,H,13,7,8,6,-8,-6,1,1,2,1,10,1,17,14,3,3,0,0,1.3301435406698565,1.244019138755981,0.9276315789473685,1.4342105263157894,209
1181,Charlton,Man United,0,2,A,8,14,3,9,1,5,-4,-4,5,9,3,3,19,18,2,2,1,0,1.3458646616541354,1.3383458646616542,1.7228070175438597,1.0421052631578946,133
1182,Chelsea,Tottenham,4,2,H,12,9,6,3,4,-3,6,6,10,4,10,3,16,20,1,4,0,0,2.1543859649122807,0.8,1.2035087719298245,1.4771929824561403,285
1183,Everton,Newcastle,2,2,D,9,4,7,2,-2,-2,2,2,4,2,6,3,20,21,5,5,1,1,1.592982456140351,1.0701754385964912,1.0714285714285714,1.6804511278195489,285
1184,Southampton,Wolves,2,0,H,15,10,10,3,1,-9,5,5,6,1,7,3,16,20,3,5,0,0,1.486842105263158,1.1578947368421053,0.9342105263157895,1.986842105263158,152
1185,Birmingham,Fulham,2,2,D,15,8,9,6,2,2,1,1,8,7,8,1,16,21,1,4,1,1,1.218045112781955,1.0526315789473684,0.8947368421052632,1.611336032388664,133
1186,Man City,Aston Villa,4,1,H,17,8,9,4,3,-1,3,3,7,4,4,3,11,11,0,1,0,0,1.8345864661654134,0.9849624060150376,1.1508771929824562,1.6456140350877193,266
1187,Leicester,Leeds,4,0,H,19,14,11,2,-3,0,-3,-3,2,5,9,5,10,10,0,2,0,0,1.2763157894736843,1.355263157894737,1.2894736842105263,1.5394736842105263,76
1188,Aston Villa,Charlton,2,1,H,15,8,6,3,-1,1,-1,-1,4,5,10,2,13,13,3,2,0,0,1.2596491228070175,1.1087719298245613,0.9172932330827067,1.5639097744360901,285
1189,Fulham,Man City,2,2,D,13,7,9,6,2,3,0,0,7,7,2,4,14,19,2,5,0,0,1.4129554655870444,1.2105263157894737,1.2857142857142858,1.368421052631579,247
1190,Leeds,Birmingham,0,2,A,12,7,6,3,-4,4,-6,-6,5,11,6,1,15,14,4,2,1,0,1.5394736842105263,1.3026315789473684,0.8345864661654135,1.6541353383458646,76
1191,Liverpool,Leicester,2,1,H,19,9,8,3,4,1,3,3,8,5,4,4,10,9,0,0,0,0,1.8982456140350876,0.7578947368421053,1.1578947368421053,1.486842105263158,285
1192,Newcastle,Bolton,0,0,D,14,8,7,6,-2,-6,-2,-2,3,5,7,5,15,12,1,1,0,0,1.537593984962406,1.1766917293233083,1.0382775119617225,1.6889952153110048,266
1193,Portsmouth,Blackburn,1,2,A,9,12,6,10,5,1,4,4,9,5,7,6,17,18,2,3,0,0,1.3834586466165413,1.1954887218045114,1.0956937799043063,1.6889952153110048,133
1194,Tottenham,Southampton,1,3,A,13,12,6,10,-5,3,-5,-5,4,9,4,7,15,14,1,1,0,0,1.743859649122807,1.0666666666666667,1.013157894736842,1.513157894736842,285
1195,Wolves,Chelsea,0,5,A,8,14,4,8,-11,9,-12,-12,1,13,1,3,15,15,2,3,0,0,1.118421052631579,1.7105263157894737,1.5368421052631578,0.9263157894736842,76
1196,Man United,Arsenal,0,0,D,9,6,7,1,7,8,-1,-1,12,13,4,3,11,15,4,3,0,1,2.1964912280701756,0.7017543859649122,1.6596491228070176,1.1228070175438596,285
1197,Middlesbrough,Everton,1,0,H,9,9,4,5,-8,-2,-4,-4,1,5,4,6,12,14,2,3,0,0,1.3026315789473684,1.236842105263158,1.0736842105263158,1.3543859649122807,152
1198,Arsenal,Newcastle,3,2,H,11,5,7,4,8,-2,10,10,13,3,3,4,13,17,0,1,0,0,2.1789473684210527,0.8385964912280702,1.0714285714285714,1.6804511278195489,285
1199,Birmingham,Portsmouth,2,0,H,7,10,5,5,4,5,2,2,11,9,4,4,10,16,1,3,0,0,1.218045112781955,1.0526315789473684,0.8120300751879699,1.6616541353383458,133
1200,Bolton,Wolves,1,1,D,22,8,14,4,-6,-16,5,5,6,1,12,3,16,4,2,0,0,0,1.3301435406698565,1.244019138755981,0.9342105263157895,1.986842105263158,209
1201,Chelsea,Aston Villa,1,0,H,10,7,5,1,10,-3,9,6,16,7,6,5,7,9,0,2,0,0,2.1543859649122807,0.8,1.1508771929824562,1.6456140350877193,285
1202,Leicester,Man United,1,4,A,10,11,4,9,0,7,-8,-6,5,13,7,3,7,11,0,0,0,0,1.2763157894736843,1.355263157894737,1.7228070175438597,1.0421052631578946,76
1203,Southampton,Middlesbrough,0,1,A,10,12,6,9,5,-7,8,7,12,4,4,4,12,19,4,3,1,0,1.486842105263158,1.1578947368421053,0.9276315789473685,1.4342105263157894,152
